date,open,high,low,close,movement
2019-10-02,107.15,107.291,106.506,107.163,down
2019-10-03,106.823,107.114,106.657,106.826,down
2019-10-06,106.763,107.068,106.689,106.764,up
2019-10-07,107.256,107.436,106.811,107.251,down
2019-10-08,106.951,107.453,106.951,106.961,up
2019-10-09,107.223,107.972,107.182,107.178,up
2019-10-10,107.852,108.608,107.852,107.88,up
2019-10-13,108.459,108.459,108.051,108.459,down
2019-10-14,108.376,108.88,108.156,108.388,up
2019-10-15,108.817,108.84,108.605,108.817,down
2019-10-16,108.675,108.918,108.512,108.677,down
2019-10-17,108.591,108.717,108.42,108.581,down
2019-10-20,108.405,108.66,108.369,108.408,up
2019-10-21,108.603,108.717,108.466,108.601,down
2019-10-22,108.473,108.663,108.253,108.483,up
2019-10-23,108.612,108.742,108.502,108.642,down
2019-10-24,108.612,108.758,108.516,108.606,up
2019-10-27,108.726,109.031,108.658,108.734,up
2019-10-28,108.969,109.043,108.802,108.964,down
2019-10-29,108.886,108.969,108.811,108.874,down
2019-10-30,108.794,108.855,108.054,108.789,down
2019-10-31,108.017,108.236,107.912,107.996,up
2019-11-03,108.21,108.609,108.205,108.22,up
2019-11-04,108.698,109.19,108.651,108.694,up
2019-11-05,109.132,109.174,108.829,109.146,down
2019-11-06,108.914,109.426,108.657,108.913,up
2019-11-07,109.272,109.463,109.083,109.274,down
2019-11-10,109.211,109.238,108.905,109.226,down
2019-11-11,109.047,109.288,108.986,109.042,down
2019-11-12,108.997,109.141,108.677,108.993,down
2019-11-13,108.787,108.857,108.274,108.798,down
2019-11-14,108.486,108.852,108.453,108.492,up
2019-11-17,108.703,109.063,108.516,108.699,down
2019-11-18,108.681,108.83,108.452,108.662,down
2019-11-19,108.485,108.721,108.358,108.445,up
2019-11-20,108.486,108.664,108.278,108.478,up
2019-11-21,108.579,108.717,108.477,108.585,up
2019-11-24,108.729,108.956,108.699,108.73,up
2019-11-25,108.993,109.171,108.877,108.992,up
2019-11-26,109.084,109.393,109.06,109.097,up
2019-11-27,109.376,109.543,109.343,109.367,up
2019-11-28,109.517,109.662,109.425,109.512,up
2019-12-01,109.532,109.72,108.999,109.535,down
2019-12-02,109.014,109.204,108.5,109.022,down
2019-12-03,108.67,108.89,108.43,108.653,up
2019-12-04,108.838,108.987,108.671,108.832,down
2019-12-05,108.754,108.908,108.548,108.738,down
2019-12-08,108.615,108.626,108.428,108.627,down
2019-12-09,108.599,108.751,108.52,108.582,up
2019-12-10,108.771,108.783,108.637,108.764,down
2019-12-11,108.541,109.299,108.457,108.549,up
2019-12-12,109.414,109.696,109.209,109.413,down
2019-12-15,109.38,109.669,109.354,109.4,up
2019-12-16,109.572,109.628,109.463,109.576,down
2019-12-17,109.523,109.622,109.398,109.516,up
2019-12-18,109.545,109.67,109.215,109.551,down
2019-12-19,109.391,109.49,109.259,109.383,up
2019-12-22,109.493,109.493,109.338,109.499,down
2019-12-23,109.383,109.428,109.323,109.382,down
2019-12-24,109.38,109.782,109.31,109.383,down
2019-12-25,109.373,109.682,109.367,109.369,up
2019-12-26,109.538,109.586,109.426,109.542,down
2019-12-29,109.438,109.438,108.773,109.428,down
2019-12-30,108.868,108.868,108.469,108.873,down
2019-12-31,108.68,111.41,108.63,108.681,up
2020-01-01,108.714,108.86,108.221,108.713,down
2020-01-02,108.54,108.551,107.915,108.543,down
2020-01-05,107.999,108.41,107.922,107.964,up
2020-01-06,108.411,108.617,108.261,108.406,down
2020-01-07,107.978,109.089,107.657,108.016,up
2020-01-08,109.049,109.576,109.049,109.031,up
2020-01-09,109.499,109.675,109.456,109.507,up
2020-01-12,109.534,109.935,109.532,109.566,up
2020-01-13,110.0,110.171,109.891,109.992,down
2020-01-14,109.874,109.996,109.792,109.854,up
2020-01-15,109.876,110.17,109.876,109.883,up
2020-01-16,110.169,110.275,110.058,110.175,up
2020-01-19,110.195,110.213,110.114,110.18,down
2020-01-20,110.179,110.218,109.862,110.173,down
2020-01-21,109.919,110.077,109.837,109.908,down
2020-01-22,109.736,109.75,109.269,109.728,down
2020-01-23,109.565,109.646,109.305,109.552,down
2020-01-26,108.814,109.132,108.814,108.802,up
2020-01-27,108.929,109.188,108.762,108.92,up
2020-01-28,109.13,109.226,108.994,109.132,down
2020-01-29,108.996,109.038,108.657,108.987,down
2020-01-30,108.909,109.115,108.341,108.877,down
2020-02-02,108.381,108.796,108.366,108.372,up
2020-02-03,108.61,109.438,108.558,108.612,up
2020-02-04,109.444,109.834,109.312,109.447,up
2020-02-05,109.804,109.98,109.781,109.814,up
2020-02-06,109.955,109.979,109.531,109.968,down
2020-02-09,109.629,109.87,109.611,109.645,up
2020-02-10,109.758,109.954,109.742,109.766,up
2020-02-11,109.837,110.121,109.79,109.843,up
2020-02-12,109.857,109.977,109.628,109.846,down
2020-02-13,109.786,109.908,109.705,109.758,up
2020-02-16,109.777,109.954,109.721,109.791,up
2020-02-17,109.829,109.94,109.656,109.83,up
2020-02-18,109.928,111.302,109.866,109.919,up
2020-02-19,111.202,112.186,111.113,111.21,up
2020-02-20,111.967,112.168,111.517,111.954,down
2020-02-23,111.555,111.657,110.51,111.557,down
2020-02-24,110.867,111.035,110.039,110.857,down
2020-02-25,110.279,110.689,110.148,110.286,up
2020-02-26,110.358,110.388,109.707,110.363,down
2020-02-27,109.658,109.658,107.778,109.66,down
2020-03-01,107.752,108.558,107.415,107.697,up
2020-03-02,108.447,108.447,107.221,108.487,down
2020-03-03,107.069,107.671,107.048,107.037,up
2020-03-04,107.653,107.653,106.508,107.677,down
2020-03-05,106.261,106.336,104.996,106.248,down
2020-03-08,103.973,104.257,101.283,103.938,down
2020-03-09,103.108,105.189,102.739,103.112,up
2020-03-10,105.071,105.281,104.119,105.026,down
2020-03-11,104.64,105.716,103.138,104.55,up
2020-03-12,104.709,107.471,104.691,104.61,up
2020-03-15,106.579,107.529,105.147,106.688,down
2020-03-16,106.259,107.561,106.079,106.175,up
2020-03-17,107.342,108.488,106.759,107.377,up
2020-03-18,108.413,110.139,108.197,108.36,up
2020-03-19,111.3,111.337,109.376,111.291,down
2020-03-22,110.404,111.349,109.681,110.462,up
2020-03-23,110.864,111.487,110.114,110.827,up
2020-03-24,111.115,111.668,110.752,111.12,down
2020-03-25,110.858,110.934,109.361,110.876,down
2020-03-26,109.136,109.364,107.884,109.109,down
2020-03-29,107.439,108.287,107.153,107.413,up
2020-03-30,108.056,108.712,107.465,108.035,down
2020-03-31,107.457,107.897,107.029,107.508,down
2020-04-01,107.286,107.978,107.034,107.257,up
2020-04-02,108.047,108.672,107.813,108.001,up
2020-04-05,108.679,109.353,108.679,108.693,up
2020-04-06,109.086,109.127,108.676,109.115,down
2020-04-07,108.665,109.074,108.513,108.651,up
2020-04-08,108.899,109.058,108.36,108.922,down
2020-04-09,108.551,108.564,108.329,108.561,down
2020-04-12,108.35,108.371,107.563,108.336,down
2020-04-13,107.632,107.749,107.073,107.623,down
2020-04-14,107.104,107.837,106.93,107.104,up
2020-04-15,107.616,108.077,107.186,107.609,up
2020-04-16,107.934,107.943,107.306,107.945,down
2020-04-19,107.689,107.946,107.602,107.67,up
2020-04-20,107.671,107.812,107.296,107.669,up
2020-04-21,107.75,107.931,107.526,107.721,up
2020-04-22,107.812,107.97,107.35,107.813,down
2020-04-23,107.649,107.75,107.413,107.667,down
2020-04-26,107.504,107.616,107.0,107.495,down
2020-04-27,107.286,107.334,106.562,107.283,down
2020-04-28,106.752,106.758,106.364,106.741,down
2020-04-29,106.601,107.108,106.416,106.61,up
2020-04-30,107.305,107.399,106.61,107.285,down
2020-05-03,106.751,107.055,106.672,106.738,down
2020-05-04,106.683,106.889,106.484,106.697,down
2020-05-05,106.431,106.431,106.024,106.452,down
2020-05-06,106.21,106.646,106.139,106.191,up
2020-05-07,106.39,106.72,106.233,106.359,up
2020-05-10,106.905,107.728,106.775,106.919,up
2020-05-11,107.588,107.673,107.216,107.566,down
2020-05-12,107.163,107.251,106.762,107.138,down
2020-05-13,106.914,107.164,106.785,106.933,up
2020-05-14,107.361,107.432,106.876,107.365,down
2020-05-17,107.229,107.495,107.067,107.208,up
2020-05-18,107.377,108.074,107.305,107.381,up
2020-05-19,107.819,107.975,107.346,107.81,down
2020-05-20,107.599,107.847,107.575,107.591,up
2020-05-21,107.634,107.76,107.334,107.631,up
2020-05-24,107.74,107.772,107.63,107.735,down
2020-05-25,107.69,107.916,107.403,107.687,down
2020-05-26,107.489,107.932,107.372,107.491,up
2020-05-27,107.803,107.896,107.579,107.798,down
2020-05-28,107.626,107.812,107.09,107.643,up
2020-05-31,107.714,107.85,107.394,107.708,down
2020-06-01,107.546,108.658,107.517,107.548,up
2020-06-02,108.818,108.974,108.421,108.809,up
2020-06-03,108.981,109.153,108.619,108.999,up
2020-06-04,109.12,109.846,109.048,109.15,up
2020-06-07,109.59,109.6,108.413,109.634,down
2020-06-08,108.369,108.369,107.646,108.409,down
2020-06-09,107.817,107.867,107.177,107.797,down
